TIME,GEO,UNIT,CATEGORY,AGE,SEX,Value,Flag and Footnotes
2009,European Union - 28 countries,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,13167.6,
2009,European Union - 28 countries,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,10274.2,
2009,European Union - 28 countries,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,4775.6,
2009,European Union - 28 countries,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1882.3,
2009,European Union - 28 countries,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,588.1,
2009,European Union - 15 countries (1995-2004),Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,11096,
2009,European Union - 15 countries (1995-2004),Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,8661.8,
2009,European Union - 15 countries (1995-2004),Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3991.7,
2009,European Union - 15 countries (1995-2004),Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1557.4,
2009,European Union - 15 countries (1995-2004),Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,483.9,
2009,Euro area (19 countries),Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,9093.9,
2009,Euro area (19 countries),Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,7014.3,
2009,Euro area (19 countries),Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3245.5,
2009,Euro area (19 countries),Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1165.9,
2009,Euro area (19 countries),Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,361.4,
